Month,Week,Phase,Focus_Area,Study_Hours_Planned,Lab_Hours_Planned,Total_Hours,Study_Hours_Actual,Lab_Hours_Actual,Deliverable,Status,Notes,English_Milestone,Consulting_Skill,Certification,Portfolio_Projects,TryHackMe_Rooms,HackTheBox_Machines,OSCP_Lab_Machines,Pentest_Reports_Written
1,1-4,Phase 1,Lab Architecture + PAM Foundations,3,7,10,,,Lab environment + PAM concepts baseline,Pending,Start: 2026-05-04,,,,"Kali VM, CyberArk Vault VM, GitHub repo",0,0,0,0
1,1,Phase 1,Week 1,1.5,2,3.5,,,Hypervisor + Kali Linux + CyberArk lab VMs provisioned,Pending,Lab baseline ready,Reading English docs,,,"Lab infra + GitHub repo",1,0,0,0
1,2,Phase 1,Week 2,1.5,2,3.5,,,CyberArk Vault installation + PAM fundamentals,Pending,Vault running,Reading English docs,,,"Vault install notes",1,0,0,0
1,3,Phase 1,Week 3,1.5,2,3.5,,,PAM architecture document started + AD lab,Pending,Architecture draft,Reading docs + notes,,,"Architecture doc, AD lab",2,0,0,0
1,4,Phase 1,Week 4,1.5,2,3.5,,,GitHub repo organized + study notes compiled,Pending,First month complete,Reading + video watching,,,"GitHub repo, Study notes",2,1,0,0
2,5-8,Phase 1,PAM Deep Dive + CPM + PVWA,3,7,10,,,CyberArk Vault + CPM + PVWA operational,,,,,,"PAM core stack",3,1,0,0
2,5,Phase 1,Week 5,1.5,2,3.5,,,CyberArk CPM installed + first policies,Pending,CPM working,,,,"CPM policies",1,0,0,0
2,6,Phase 1,Week 6,1.5,2,3.5,,,CPM integration tested with AD targets,Pending,End-to-end rotation,,,,"CPM configuration",1,1,0,0
2,7,Phase 1,Week 7,1.5,2,3.5,,,PVWA web interface deployed,Pending,PVWA live,Reading + watching videos,Prepare Month 3 presentation,"","PVWA deployment",1,0,0,0
2,8,Phase 1,Week 8,1.5,2,3.5,,,PAM lab end-to-end (Vault + CPM + PVWA),Pending,PAM lab complete,Reading + video notes,Presentation slides ready,,"PAM lab ✓",0,0,0,0
3,9-12,Phase 1,Defender Cert Prep + PSM,6,4,10,,,CyberArk Defender certification achieved,Pending,"Exam passed, 90%+ practice","Reading docs, taking notes",First presentation (PAM Fundamentals),Defender Certified (M4),,2,1,0,0
3,9,Phase 1,Week 9,6,4,10,,,Defender course 75% + PSM install,In Progress,Core concepts studied,"Reading, video watching",First presentation delivered,Studying,Presentation 1,1,0,0,0
3,10,Phase 1,Week 10,6,4,10,,,Defender course 100% + PSM connectors,In Progress,Advanced topics covered,"Reading, documentation","Refine presentation, lab exercises",,,1,1,0,0
3,11,Phase 1,Week 11,6,4,10,,,Defender practice tests 90%+,In Progress,Ready for exam,"Reading, practice tests","Lab review, exam prep",,,0,0,0,0
3,12,Phase 1,Week 12,6,4,10,,,DEFENDER CERTIFICATION ACHIEVED,Complete,"Exam passed ✓",Documentation review,Celebrate,Defender Certified (M4),,0,0,0,0
4,13-16,Phase 1,Sentry Prep + Portfolio Project 1,4,6,10,,,Advanced PAM scenarios + Portfolio 1 started,Pending,Sentry prep 70%,"Reading docs, writing notes",Second presentation (PAM Architecture),"","Project 1: PAM Lab Documentation",2,1,0,0
4,13,Phase 1,Week 13,4,6,10,,,Sentry fundamentals + advanced CPM,In Progress,Started Sentry,Reading Sentry course,"Project 1 started",Studying,,1,1,0,0
4,14,Phase 1,Week 14,4,6,10,,,Sentry advanced admin + HA prep,In Progress,Sentry 50% complete,"Reading, practice labs",Build Project 1 core,,,1,0,0,0
4,15,Phase 1,Week 15,4,6,10,,,Sentry scenarios + PSM tuning,In Progress,Sentry 70% complete,"Reading, troubleshooting practice",Document Project 1,,,0,0,0,0
4,16,Phase 1,Week 16,4,6,10,,,Sentry practice tests + Project 1 polish,In Progress,Sentry 90%+,"Practice tests, lab review",Polish Project 1,Sentry Prep,,0,0,0,0
5,17-20,Phase 1,Sentry Exam + Portfolio 1 Publish,4,6,10,,,SENTRY CERTIFICATION + Project 1 published,Pending,Exam passed + project published,Writing English documentation,First LinkedIn article published,Sentry Certified (M7),"Project 1: PAM Lab published",2,1,0,0
5,17,Phase 1,Week 17,4,6,10,,,Sentry course completion + Project 1 README,In Progress,Sentry 100%,Writing in English,Article preparation,,,1,0,0,0
5,18,Phase 1,Week 18,4,6,10,,,Sentry practice tests 85%+,In Progress,Getting ready,"Writing, practicing",LinkedIn article draft,,,0,0,0,0
5,19,Phase 1,Week 19,4,6,10,,,Sentry weak areas mastery,In Progress,90%+ tests,Writing articles,Final review,,,0,0,0,0
5,20,Phase 1,Week 20,4,6,10,,,SENTRY EXAM DAY,Complete,"Exam passed ✓","Writing, publishing",LinkedIn article published,Sentry Certified,Published Project 1,1,1,0,0
6,21-24,Phase 1,Guardian Prep + Conjur Intro,4,6,10,,,Guardian exam prep + Conjur basics,Pending,"Guardian course, Conjur",Reading Conjur docs,Recovery consolidation,,,2,1,0,0
6,21,Phase 1,Week 21,4,6,10,,,Guardian advanced architecture + Conjur install,In Progress,Started Guardian,Documentation reading,Monthly review,,,1,0,0,0
6,22,Phase 1,Week 22,4,6,10,,,Guardian HA/DR + Conjur policy intro,In Progress,HA/DR study,"Reading, practice labs",Knowledge check,,,1,1,0,0
6,23,Phase 1,Week 23,4,6,10,,,Guardian advanced scenarios + Conjur hosts,In Progress,Advanced scenarios,"Reading, practice tests","Practice tests, lab exercises",,,0,0,0,0
6,24,Phase 1,Week 24,4,6,10,,,GUARDIAN EXAM PREP COMPLETE,In Progress,Ready for exam,Documentation review,"Ready for certification, Month summary",,,0,0,0,0
7,25-28,Phase 2,Guardian Exam + Pentest Foundations Begin,3,7,10,,,GUARDIAN CERTIFIED + offensive security begins,Pending,"Guardian passed, pentest foundations","Reading pentest docs, writing notes","Presentation: PAM + Offensive Security",Guardian Certified (M10),"Project 2: Conjur + K8s DevSecOps started",3,2,0,0
7,25,Phase 2,Week 25,3,7,10,,,Guardian practice tests + Linux privesc basics,In Progress,90%+ Guardian tests,Pentesting documentation,Portfolio Project 2 start,,,1,1,0,0
7,26,Phase 2,Week 26,3,7,10,,,Guardian weak areas + networking fundamentals for pentesting,In Progress,95%+ tests,Writing articles,Project 2 building,,,1,1,0,0
7,27,Phase 2,Week 27,3,7,10,,,Guardian final prep + TryHackMe intro path,In Progress,Ready for exam,"Writing, publishing",Presentation prep,,,1,0,0,0
7,28,Phase 2,Week 28,3,7,10,,,GUARDIAN EXAM DAY,Complete,"Exam passed ✓",Presentation delivery,PAM + pentest presentation given,Guardian Certified,,0,0,0,0
8,29-32,Phase 2,Kali + Recon + Scanning + eJPT Begin,3,7,10,,,Kali Linux mastery + Nmap + recon methodology,Pending,"eJPT path started, Conjur continuing","Reading pentest docs, writing labs",RFP template development,"","Project 2 continuing, pentest lab notes",5,2,0,0
8,29,Phase 2,Week 29,3,7,10,,,Kali Linux setup + Nmap deep dive,In Progress,Recon toolkit,"Nmap labs, writing",Finish Project 2 core,,,2,1,0,0
8,30,Phase 2,Week 30,3,7,10,,,Service enumeration + SMB/RDP/LDAP,In Progress,Enumeration mastery,"Reading, labs, writing",Finish Project 2 docs,,,1,1,0,0
8,31,Phase 2,Week 31,3,7,10,,,Vulnerability scanning + manual verification,In Progress,Vuln analysis,"Reading, writing guides",Polish Project 2 docs,,,1,0,0,0
8,32,Phase 2,Week 32,3,7,10,,,Web recon (Burp Suite intro) + OSINT,In Progress,Web recon basics,"Burp basics, writing",Project 2 published,,"Project 2: Conjur + K8s DevSecOps",1,0,0,0
9,33-36,Phase 2,Exploitation Fundamentals + Metasploit,3,7,10,,,Metasploit mastery + exploit development intro,Pending,"Exploitation mastery, Metasploit","Writing exploit notes, presentations",Consulting proposal template,,"Project 3: Multi-Cloud Secrets started",6,3,0,0
9,33,Phase 2,Week 33,3,7,10,,,Metasploit framework deep dive,In Progress,MSF core,"Writing Metasploit guide, labs",Consulting proposal template start,,,2,1,0,0
9,34,Phase 2,Week 34,3,7,10,,,Public exploits + searchsploit + manual exploitation,In Progress,Exploit workflow,"Technical blog preparation, writing",Sample proposal draft,,,2,1,0,0
9,35,Phase 2,Week 35,3,7,10,,,Buffer overflow basics + shellcode intro,In Progress,BOF fundamentals,"Blog post publishing, technical writing",Proposal template review,,,1,1,0,0
