Month,Week,Phase,Focus_Area,Study_Hours_Planned,Lab_Hours_Planned,Total_Hours,Study_Hours_Actual,Lab_Hours_Actual,Deliverable,Status,Notes,English_Milestone,Consulting_Skill,Certification,Portfolio_Projects
1,1-4,Phase 1,Foundations & Lab Setup,3,7,10,,,Lab environment initiated,,,,,,"REDUCED TO 10-12 HRS/WEEK"
1,1,Phase 1,Week 1,1.5,2,3.5,,,Lab environment setup - VMs + K8s cluster started,Pending,Started lab setup,Reading English docs,,,"K8s cluster, GitHub repo"
1,2,Phase 1,Week 2,1.5,2,3.5,,,K8s cluster operational + PAM fundamentals,Pending,Cluster running,Reading English docs,,,"K8s basics, GitHub repo"
1,3,Phase 1,Week 3,1.5,2,3.5,,,PAM architecture beginning + K8s networking,Pending,Architecture doc started,Reading docs + notes,,,"Architecture doc, K8s networking"
1,4,Phase 1,Week 4,1.5,2,3.5,,,GitHub repo organized + Study notes compiled,Pending,First month complete,Reading + video watching,,,"GitHub repo, Study notes"
2,5-8,Phase 1,PAM Deep Dive + K8s Expansion,3,7,10,,,PAM Vault + CPM installation complete,,,,,,
2,5,Phase 1,Week 5,1.5,2,3.5,,,CyberArk Password Vault installed,Pending,Vault setup,,,"Vault deployment guide"
2,6,Phase 1,Week 6,1.5,2,3.5,,,CPM setup + Vault integration tested,Pending,CPM working,,,"CPM configuration"
2,7,Phase 1,Week 7,1.5,2,3.5,,,K8s multi-tier app deployed,Pending,K8s app running,Reading + watching videos,Prepare Month 3 presentation,"","K8s multi-tier app"
2,8,Phase 1,Week 8,1.5,2,3.5,,,PVWA web interface + Ingress setup,Pending,PAM lab complete,Reading + video notes,Presentation slides ready,,Presentation slides
3,9-12,Phase 1,Defender Cert Prep + Advanced Labs,6,4,10,,,CyberArk Defender Certification achieved,Pending,"Exam passed, 90%+ practice","Reading docs, taking notes",First presentation (PAM Fundamentals),Defender Certified (M5),
3,9,Phase 1,Week 9,6,4,10,,,Defender course 75% + practice tests,In Progress,Core concepts studied,"Reading, video watching",First presentation delivered,Studying,Presentation 1
3,10,Phase 1,Week 10,6,4,10,,,Defender course 100% + advanced topics,In Progress,Advanced topics covered,"Reading, documentation","Refine presentation, lab exercises",,
3,11,Phase 1,Week 11,6,4,10,,,Defender practice tests 90%+,In Progress,Ready for exam,"Reading, practice tests","Lab review, exam prep",,
